ID,Text,Age,Gender,Physical,Race,Religion,Others
36,PAG SINAGOT KA NI BAYS WALANG SUMBUNGAN KAY TA/TAY DI/GS HA HAHAHAHAHHHAHAHAHAHHAHHAHAHAHAHAHHAHAHAA PAKYU ROQUE MUKHA KANG PATATAS,0,0,1,0,0,0
37,the fuck? what the fucking fuck is wrong with these fucking catholics? tangina nyo wala akong pake sa mga santo nyo kahit tawagin nyo pa si san pedro,0,0,0,0,1,0
38,TANGINA KAYONG MGA TOXIC NA TAO SA TRABAHO PINAPAHIRAPAN NIYO BUHAY NG MADAMI MGA ULOL,0,0,0,0,0,1
39,ang attitude ng mga koreano sa totoo lng yung sobrang cold yung tingin tas ang baba pa ng tingin sa mga pinoy puta kayo puro retokada naman,0,0,1,1,0,0
40,"And for the nth time, yawa ang mga lalaki period no erase ulol pakyu.",0,1,0,0,0,0
41,Dunno. Some guy. Bicolano din. Nireblog nya because mga bicolana daw. Bwiset sapakin ko yun eh.,0,1,0,1,0,0
42,CATHOLICS FUCK YALL FOR DRAGGING THE PURA LUKA ISSUE GANYAN BA YUNG MGA SINASAMBA NYONG DYOS-DYOSAN? YALL R SO HAPPY FOR OTHER'S SUFFERING SO FUCK YALL,0,0,0,0,1,0
43,"ulol putanginam tarantado gago tanga bastos walang modo bobo baliw shit siraulo sintosinto punyeta kulang kulang may sayad stupid pakyu abnormal putaragis hayop demonyo animal aso pusa daga ibon ahas ipis baka tigre buwaya pagong elepante unggoy puta nasau n lht,,,inamo zilvane!!",0,0,0,0,0,1
44,tangIna faggot kang anak ng pating kang abnoy ka na pisteng ulol ah fucking bitch giatay kang burikat ka na mukang ebak na puno ng kinginamong hayop ka ampanget ng nanay mo ampanget ng tatay mo syempre dika exempted panget ka din tangina mo,0,1,1,0,0,0
45,Mga lalaki talaga mga hayuk sa babae. Tangina. Kakapanood niyo kasi ng pornography videos na pinagsasabay ang mga babae. Mga putangina niyong mga manloloko kayo. Kating kati?,0,1,0,0,0,0
46,Putangina pwede bang itigil na ng matatanda mag sabi ng kababae mong tao ganyan ka like shut the fuck up i didn't ask for your opinion nobody needs your stupid opinion pag babae ka you're supposed to be the taga linis kase you're babae pag lalake ka it's okay -,1,1,0,0,0,0
47,GURANG KA TANGINA KA WALA KONG PAKI SAYO UR OLD FUCKING WAYS WILL NO LONGER WORK TODAY GAGO ,1,0,0,0,0,0
48,mahalaga paba ang bayaran na babae na sumira sa iyong binuong pamilya parang tanga ang kanta na yan,0,1,0,0,0,0
49,"Isa ka pang bobo na puro puna kay Chot pero kabwakwan ni JC di mo punahin nung WC, ni hindi na makahawak ng bola mga locals. Nanuod ka ba non o TANGA ka lang talaga? Isip muna bago comment BOBO hahaha! Wala kang kwenta kausap! Hilahin ko bigote mo eh LOL",0,0,0,0,0,1
50,"mamatay na sana yung sumaksak sa aso ko, pupulutanin nyo kasi malaki katawan? di payatot noh, alagang alaga eh. mamatay na kayo pls!!!!! putang ina nyo di nyo deserve mabuhay, kayo yung hayop dito.",0,0,0,0,0,1
51,Putangina naman China must pay for this entire pandemic,0,0,0,1,0,0
52,Kanser na sa lipunan karamihan ng mga Bisaya ngayon sa Visayas tama lang daanan yan ni Odette para mabawasan naman ang mga kanser na #Bisakol,0,0,0,1,0,0
53,TANGINA RIN NG MGA TURISTA DITO SA BAGUIO NA HINDI MARUNONG RUMESPETO SA LUGAR AT SA MGA TAO!!! LALO NA RON SA MGA MATATANDA TANGINA ILANG TAON NA KAYO WALA PARIN KAYONG MGA MODO!!!,1,0,0,1,0,0
54,KRAZY AH OLD FUCK NAKA HIJAB TAS KITA BRA PUTANG INA MO,1,0,0,1,1,0
55,"when will ppl understand that, just increasing the volume doesnt equate to sounding good, fuck man nakakapikon tunog dito sa church ansakit sa tenga amputa",0,0,0,0,1,0
56,Sasabihan nyong feeling entitled ang millennials eh pota gusto ko na sabunutan tong mga Gen X na to,1,0,0,0,0,0
57, fuck you and your twisted beliefs. mas genuine pa yung sympathy ng chaplain sa evangelical church ng tabak putangina niyo,0,0,0,0,1,0
58,Heterophobia putanginang yan pinakabobong narinig ko sa mga bobong born again tangina niyong mga born again kayo mga bobo putangina niyong lahat,0,1,0,0,1,0
59,"anong gusto mo? sagutin kita? e may jowa ako lol. tanginamo, ante. baliw ka ba???? educ pa naman course mo, tapos ganyan ka. yawa ang bobo mo",0,1,0,0,0,0
60,"isasama ko kayo sa mga badjao, mga ulol pinagiisipan niyo ako ng masama wag po ako awa na hahahahaha gago",0,0,0,1,0,0
61,yung isa lard ass fat fuck bungi yung isa weirdo na abangers yung isa cheater tapos pacool yung isa feminist na bobo naman at toxic feminism ang sinusupport yung isa pacool din na pangit naman tapos mga walang boundaries nung kami pa haha mga walang decency sa buhay kadiri,0,1,1,0,0,0
62,"Kadura-dura yung kabobohan at kapangitan ng mukha mo gorilla sa daanan. WALA KANG IKINAGWAPO PUTANGINA MO AT KAHIT NA ANONG GAWIN MO PANGIT KA PA RIN. SO WALA KANG MAID AT WALA KANG YAYA AT WALANG BAGONG CHEF. SO MAG-MAID, MAGYAYA OR MAGCOOK KA MAG-ISA MO. I'LL TEACH BOBO KA.",0,0,1,0,0,0
63,SABI NA NGANG BAWAL MANG KUNSINTI NG MGA MANLILIMOS MGA PASAWAY PA DIN! AMBOBOBO NIYO,0,0,0,0,0,1
64,bobo ka na pari niluluto yan sa lunch counter ng mga public school kupal ipinamimigay yan tuwing recess ng hapon leader ako noon sa room kaya ako ang taga kuha submit sa lunch counter yung present during that time at tatawagin kapag ready na saan ka ba nagaral noon sa gay bar,0,1,0,0,1,0
65,"wala na ngang ambag, puro katangahan pa sinasabi. Bat di mo nalang patayin sarili mo bobo ka naman and wala silbe hihiii",0,0,0,0,0,1
66,"kadiri sa feeling educated sa fb tapos kunwari palaging tama,, bugok, panget ka na nga, kinulang ka pa sa height, asim mo pa!",0,0,1,0,0,0
67,Tunog bakla ang pangaran ampota. manaihik ka nalang ,0,1,0,0,0,0
68,Kailan ba mawawala mga bisakol mag maneho nang sasakyan kala mo carguy amputa,0,0,0,1,0,0
69,"Mags-seven years ka na sa college, ang taba taba taba mo, ang pangit pangit mo, bobo ka, tamad ka, wala kang kwenta, wala nagkakagusto sayo kasi mukha nakakadiri itsura mo.........",0,0,1,0,0,0
70,immature ang puta napakapanget mo na nga panget pa ng ugali mo,1,0,1,0,0,0
71,"TANGINA NG ADMIN NA TO PUTA RECORDED NA NGA YUNG SOEECH NAPAKATAGAL PA IEDIT MGA PUTANGINANG WALANGHIYA, I-LIVESTREAM NIYO NA LANG NG BUO KAHIT ILANG ORAS YAN GANUN DIN NAMAN WALANG KWENTA",0,0,0,0,0,1
72,these filipinos knew damn well how to milk us like yall monkeys should stop migrating here smh,0,0,0,1,0,0
73,Bakit ba ang bobobobo ng mga baby boomers na naka-upo??? Keep up naman mga tanda. Tangina naman nauuumay na kong panuorin kayong mamahala. Nakakawala ng respeto. Pakshit kayo.,1,0,0,0,0,0
74,BOBO SURE AKO NA BY NOW IKINAHIHIYA KA NG MGA TITSER AT KAMG ANAK MO SA KABOBOHAN MO MAG KOMENTO. ANG TANGA TANGA KASI,0,0,0,0,0,1
75,"hoy bulok na inchik na basura! tanga ka?? saan utak mong chingchong ka?? ano pala meaning ng ""EXPIRED"" sayo??? tanga sobrang bobo mo artista na walang utak pa live2 kapa! halos 2 buwan sobra na walang trabaho ung iba tapos kayo 2 araw palang sirado parang gumuho na mundo",0,0,0,1,0,0
76,"ulol putanginang pagiging lalaki yan, kung ganyan din naman pala maging lalaki mas magandang maging bakla na lang ulol pakyu palamunin, adik",0,1,0,0,0,0
77,bakit ba feeling lagi ng mga straight na lalake na uhaw na uhaw sa kanila mga bading???? tangina 😭 ni-simpleng mag sabon nga lang ng mukha di niyo magawa pero ang yayabang niyo please lang 😭😭😭,0,1,1,0,0,0
78,"I-on mo ‘yang message button mo kung matapang ka. Kapal ng mukha mo. Nakakadiri ka, ‘yang buong pagkatao mo, sobrang kadiri. Bobo mo rin sa part na nilalahat mo kami.",0,0,1,0,0,0
79,hindi naman ako lalaki para gawin yun tangina gusto ko rin maranasan yon ng kinukusa,0,1,0,0,0,0
80, sarap hampasin ng batang to na muka naman douchebag  and probably is one,1,0,1,0,0,0
81,yak tom napaka kadiri neto yak talaga hahaha ew ew nung fourth year namen yan igorot bahag costume ews,0,0,0,1,0,0
82,taena haha kung ano ano pang sinasabi tapos ligwak naman pala sa dl/pl this sem. Bobo HAHA,0,0,0,0,0,1
83,pukinginang mga chingchong mandurugas kayo cooking show amputa,0,0,0,1,0,0
84,PAKYU KAYO ISLAM MGA ISIS ABUSAYAF GAGO LUMAYAS KAYO DITO SA PILIPINAS,0,0,0,1,1,0
85,MuKha mo mukhang kabayo magsama kayo ni quiboloy parehong tanga😂😂,0,0,1,0,1,0
86,"Yung 2 teenagers na sinigawan ko Dahil umaawra sa gitna ng Kalsada, pakyu kayo mga ineng. #TrafficRant",1,1,0,0,0,0
87,"TANGINA NI GADGET ADDICT, WALA NANG NAIDULOT KUNG HINDI PURO INTRIGA AT SCANDAL",0,0,0,0,0,1
88,tangina talaga ng mga straight boys (and girls) na nagvivictimize ng mga taong part ng lgbt para lang sa clout tangina kayo mga kuto ng lipunan,0,1,0,0,0,0
89,Sobrang excited ko na sa mundo kung saan patay na ang lahat ng GEN X at BABY BOOMERS. Tangina mga sagabal sa progresibong pag iisip.,1,0,0,0,0,0
90,nakakatangina talaga ng mga dating daan. bobo muka kayong mga manang sobrang banal banalan kala mo kung sino putangina nyo,1,1,1,0,1,0
91,pansin nyo ba napakabobo ng mga INC? kakaurat kumausap tangina,0,0,0,0,1,0
92,"Putangina niyo, wala na sana kayong eardrums sa 2023. Bagong Taon na Bagong Taon pinapakita niyong mangmang pa rin talaga karamihan lmao Mga Boomer talaga bobo.",1,0,0,0,0,0
93,tangina mo lemuel isa kang pakyu mukha kang bayag,0,0,1,0,0,0
94,Like wtf kang chekwa ka! Bastos na Chinese kinang ina nakaka highblood.,0,0,0,1,0,0
95,Iba pagka toxic nitong mga baby bra warriors. Tangina nyo puro pagshiship kasi alam nyo. Ngayon ko lang napanood yung injury part. Hindi naman yung injury ang pinalakpakan ni Meneses tatanga nyo. Palibhasa alam nyo lang gawing showbiz ang volleyball. Cheeeeeeh!,1,0,0,0,0,0
96,puta kang bakla ka kupal,0,1,0,0,0,0
97,"Girl, shut your stinky pussy nasty goofy old bitch. Find a job so you can afford hygine stuff, baho amputa",1,1,1,0,0,0
98,"Para sa mga ""Millenials"" 🤣🤣🤣 O eto daw origin. Maniwala ka sapukin kita",1,0,0,0,0,0
99,YALL CATHOLICS BETTER SHUT UR DAMN MOUTHS TALK ABT HYPOCRITES AT THEIR FINEST WALA AKONG PAKE MGA KAHOY LANG NAMAN YANG SINASAMBA NYO,0,0,0,0,1,0
100,putangina may nakita akong kuyang pogi sa timeline ko umatras pagkabakla ko,0,1,0,0,0,0
101,TAPOS PUTANG INA ROBIN PADILLA OVER CHEL?? RISA??? TANGINA MO IGLESIA NI CRISTO SOBRANG PAKYUUUUUU,0,0,0,0,1,0
102,ulol bakla mamatay kana sama mo amo mo,0,1,0,0,0,0
103,inamo gago mapanghe kapitalista nyeta ulol pakyu,0,0,1,0,0,0
104,Ikaw pa may problema sakin eh ikaw tong nagloko ulol nakakadiri ka tangina mo bobo ka,0,0,1,0,0,0
105,PUTANGINA MO PARIN DUTAE. EVERY WEEK NA BINIGAY NG MAY KAPAL NAGPAPAKABOBO KA,0,0,0,0,0,1
106,"Parang bobo tong lalaki! Sa tingin mo, may utak siya?",0,1,0,0,0,0
107,BITCH STOP OK PAG AKO HINDI NAKAPAGTIMPI BABALIK KA TALAGA NG CHINA SINASABI KO SAYONG AUTISTIC KA,0,0,0,1,0,0
108,"Pag supporter talaga ni Deputa tanga, inutil, imbecile, walang dulot ang sinasabi, ignorante, lahat na masasamang words pwede na sabihin. Binadmouth ko talaga haha wala 'kong pake kung matanda ka sa'kin",1,0,0,0,0,0
109,TANGINA NG MGA GANYAN. GANYAN DIN KATRABAHO KO. WALANG GINAWA KUNDI IPASA SAKIN TRABAHO NYA KASI BUSY SYA KAKACHAT SA JOWA NYANG MAKITID ANG UTAK NA DI MAKAINTINDI SA ORAS NG TRABAHO MGA BWAKANANGSYET,0,0,0,0,0,1
110,ulol pakyu gago oo masama kang tao,0,0,0,0,0,1
111,Can’t help but tweeeeet. Gosh these millenials ah. Sarap batukan,1,0,0,0,0,0
112,"Eng prof men matanda na, sana gahasain siya ng bakla",1,1,0,0,0,0
113,"PUTANG INA NG DATING DAAN AMPUTA MADALING ARAW NA E NAGPAPATUGTOG PARIN ANG MGA PUTANG INA MANAHIMIK NGA KAYO MGA GAGO, TANG INA.",0,0,0,0,1,0
114,ALA AKONG PAKE SA PERA MO GIRL MAY SARILI AKONG BUHAY ATLIS WALA AKONG SUGAR DADDY BOBO HAYOP NATO TANGINA NAKAILANG ARABO KANA DYAN SA IBANG BANSA TARATANDO KA HAHAHA INIWAN YUNG ASAWA PARA SA ARABO PABUNTIS KA DYAN BE PARA YUMAMAN KA ,0,1,0,1,0,0
115,"Yung mga tangina kasing mga lalaking manloloko e, akala tuloy ng babae parehas lang mga lalaki. kaya nadadamay kaming mga tapat at seryoso.",0,1,0,0,0,0
116,kanina may nakasalubong ako sa elevator mabaho ughhhhhhhhh. amoy putok ng bumbay + dying animals. natrauma na ako sa elevator,0,0,1,1,0,0
117,MAS OKAY PANG NINAKAWAN MO KO KAYSA BINABASTOS MO KO PAKYU KANG MATANDA KA,1,0,0,0,0,0
118,🤣 bobo mo talaga kahit kailangan. Ano ba ang sinasabi ko na pakyu. Kulang ka rin ng reading comprehension. Bat parang namutla ka.,0,0,0,0,0,1
119,Gago ang pangit nyo talaga kayong matatanda na walang pagkatandaan. Boomer energy ampota,1,0,1,0,0,0
120,PUTANGINA MO BRO ELI FALSE RELIGION FALSE TEACHING FALSE FUCK YALL,0,0,0,0,1,0
121,hindot na binabae pa.... ngiwi dito ngiwi dun... hahaha,0,1,0,0,0,0
122,Nang gigil nanaman si ako sa mga teenager na to kung mag ano sus. Mga pakyu!,1,0,0,0,0,0
123,tangina kapag may napulot kayo na straight na ako gagi fake news yan like super fake news,0,1,0,0,0,0
124,RIP INC mamatay lahat ng kulto ni manalo para may trabaho ako sa funeral home!,0,0,0,0,1,0
125,Hay ang ganda namang bungad sa umaga. Parang makakasapak ako ng intsik mamaya,0,0,0,1,0,0
126,Story maker amp HAHAHAHAH utak mo pilay bobo kita kita nalang tayo mamaya,0,0,1,0,0,0
127,"Gago ka, ang bobo-bobo mo at ang pangit mo pa. Dapat mamatay ka na dahil wala kang gamit sa mundong ito. Dapat umalis ka na dito at patayin mo na sarili mo",0,0,1,0,0,0
128,"Ang tamis ng kulangot ko parang kulangot ng igorot yummmmmm"" Ew",0,0,0,1,0,0
129,etong mga madre na mga puta na sumusuporta kay lenitard putangina nyo ,0,0,0,0,1,0
130,Putcha! Hello.. ang panget mong babae.. gandang ganda ka sa sarili mo na nyan?dahil naiyot ka nya..ulol! Gurang ka hayup ka..,1,1,1,0,0,0
131,Kadiri yung ka-seat share ko na bumbay! Ang dugyot! May slippers pa na pang-girl! Hay what a way to start my week,0,1,0,1,0,0
132,"patayin na kagad yan, para di na matubos ng mga teroristang islam",0,0,0,1,1,0
133,major culture shock sa japan yung okay lang magcheat as long as walang emotional attachment. like wtf makaiwas na nga sa mga hapon muka namang mga mongoloid,0,0,1,1,0,0
134,putangina when will these buddhists realize that these animals are not gods? nakakaputangina lang rerespetuhin mo yung religion na matagal ng pioneer ng animal abuse,0,0,0,0,1,0
135,Papakamatay na lang ako kesa maging mentally retarded araw araw tulad mo,0,0,1,0,0,0
136,"Putang ina mo kang matandang muslim na naka hijab na puti, lace na dress tas kita bra na black sa loob tas naka blue green crocs na may dalang box na sumakay sa teresa pa-boni. Tangina mo ka kingina mo panget mong haup ka pag nakita kita huhubaran kitang putang ina mo",1,0,1,1,1,0
137,Tanga talaga ng mga boomer na politician. Takot sa mga bata sobrang threaten.,1,0,0,0,0,0
138,"Nakakasura lang yung tanginang LGBT na yan, aba pinagpipilitan ang same sec marriage...  😠😠😠",0,1,0,0,0,0
139,ano gang landi mong babae ka!!,0,1,0,0,0,0
140,MUKA TALAGANG MGA MONGOLOID MGA KOREANO ANO HAHAHAHHA MAGA PALAGI MUKA E,0,0,1,1,0,0
141,bat karamihan sa mga babae naiinlove sa mukhang hito na mukhang aeta? HAHAHAHAHAHAH SORRY MY BAD,0,1,1,1,0,0
142,all priests are fucking predators tangina nyong mga puta kayo fucking die in hell,0,0,0,0,1,0
143,TANG INANG MGA STUPIDYANTE YAN DITO NANAMAN TATAMBAY AT PRACTICE NG SAYAW SA TAPAT TAPOS MAGKAKALAT LAGOT SAKIN MGA TO PAG BABA KO,0,0,0,0,0,1
144,"tangina ng mga matatandang dds sa tiktok kala mo naman sobrang talino dahil lang matanda na sila. ""kabataan talaga ngayon"" pakyu mukha kang siko 🖕🏻",1,0,1,0,0,0
145,"Nakakahiya na maging katoliko Mga suporter ni Lutangina, mga putangina nyo po nababaliw na po kayo",0,0,0,0,1,0
146,Nag sisimba ko mga tanga ahahahahha kung born again lang kayo eh edi sana sinama ko na kayo para masaksihan nyo hahahahhaha,0,0,0,0,1,0
147,putangina proud kang hindu? e si gandhi nga pedophile so sex offender ka din?,0,0,0,0,1,0
148,SINASAMBA NYO YANG SANTO PAPA? REALLY? THESE CATHOLICS ARE DIGGING THEIR WAY TO HELL FUCKING CULT SHIT,0,0,0,0,1,0
149,Iniissue yung suso ko atleast to firm e suso mo teh pahaba na ipit yung cleavage ulol isa pa ulol,0,1,1,0,0,0
150,TANGINA NYO HR HINDI NYO MAN LANG AKO TINATAWAGAN KAHIT MAN LANG SABIHIN NA HINDI AKO TANGGAP MGA PAKYU KAYO,0,0,0,0,0,1
151,NAPAKALANDI MO KAY LALAKI MONG TAO ULOL KA PAKYU PO!!!!!!,0,1,0,0,0,0
152,tatlong bata nasa kwarto ko pucha ang ingay ginugulo pa mga gamit ko,1,0,0,0,0,0
153,tangina ni bakla kala mo kung sinong pagreen pero sulutero wannabe naman pala parang gago kitang may jowa na kaibigan ko papansin pa bobo ka ????,0,1,0,0,0,0
154,KARAMIHAN DITO BABY BOOMER NA BACKWARDS MAG-ISIP. MASYADONG NOSTALGIC SA KABATAAN NILA KAYA BINOTO SI FRAUD PRINCETON GRADUATE. PANSIN KO LANG. TANGINA.,1,0,0,0,0,0
155,TANGINA MO ROOMMATE PILIT MONG ISINISIKSIK SA ILALIM NG KAMA YUNG SAPATOS KO NAGASGAS TULOY BWISIT KA. KUNG GUSTO MO MALUWAG SUBUKAN MO LABHAN YUNG KABUNDOK MONG LABADA NA SOBRANG BAHO NG SINGAW PATI TUWALYA KONG PANLIGO NAHAHAWA NA. MAPOSTURA KANG DUGYOT KA SOBRANG BAHO NAMAN NG PAA MO GAMIT KA FOOTSPRAY POTA KA,0,0,1,0,0,0
156,"MAHIYA KA NAMAN SA MUKHA MO. LA KONG PAKI KUNG IGLESIA KA TANGINA WALANG KATUTURAN PARIN MGA SINASABI MO. BOBO KA, BOBO RIN MGA KAKULTO MO",0,0,1,0,1,0
157,TANGINA NG MGA TAONG GUSTO NG 5-STAR SERVICE PERO PANG 1/2 STAR LANG ANG BUDGET. TAPOS GUSTO YUBG TROPA NA LANG NILANG MAY KAYA YUNG SASAGOT SA KANILA..DI AKO NAG OVERTIME AT KUMUHA NG 2ND AND 3RD JOBS PARA BAYARAN YUNG SOLO DELUXE ROOM MO SIS.,0,0,0,0,0,1
158,HND PORKET DI NA AKO NAG SISIMBA SEVENTH DAY ADVENTIST NA? PANGIT DN KASE NG MGA UGALI NYO MGA TANGA..,0,0,0,0,1,0
159,gago lord teka what the fuck putangina niyo gago tarantado punyeta hayop animal putangina,0,0,0,0,1,0
160,broken family daw haha tangina mo kababae mo literal kang malandi ulol,0,1,0,0,0,0
161,ahahahhaha tangina igorot amputa hahaha ano na lang anak nila? Ulikba na hahahha,0,0,0,1,0,0
162,"Iglesia Ni Kristo, Quiboloy, And El Shadog, cannot support their endorsements to Bobo Magnanakaw, and SArA with Biblical basis. But when they speak with non members they always quote twisted Bible verses to deceive people's mind. Mga tangang feeling magaling at matalino talaga tao dyan",0,0,0,0,1,0
163,Tapos dinpa inallow ung testing center sa Marikina. Pakyu Duque! Magresign ka na po! Isa kang corrupt BOOMER!,1,0,0,0,0,0
164,Nakalimutan na naman uminom ng gamot si Tanda! Hoy GAGO mag kulambo ka na lang. You are not relevant anymore. ,1,0,0,0,0,0
165,TANGINA KA RIN MAS LALO KA NA HINDUS ARE FUCKING SEX OFFENDERS FROM UR FAMOUS DEVIL GANDHI BOBO,0,0,0,0,1,0
166,what do yall expect? syempre sa kanila asian games luto talaga yan matagal ng madadaya yang mga intsik na yan,0,0,0,1,0,0
167,alam mo ang taba taba at bobo mo yun lang😂  hahahhaa jk hu u pala? hahhaha boring ka noh? hahhaha,0,0,1,0,0,0
168,Ulol. Basta Iglesia talaga bobo.,0,0,0,0,1,0
169,HOY IKAW! TIKAS NMAN NG FEZ MO..EH KAW MUKHA KANG MABAHO!  MAS MUKHA KANG TRANNY NA NILASPAG NG 10 ARABO..NAKAKAHIYA KA!,0,0,1,1,0,0
170,TANGINA PUBLIC TRANSPO SYSTEM NATIN. NAPAKAWALANG KWENTA,0,0,0,0,0,1
171," Ganon ba dapat mag-act ang isang madre? :/ #MMK"" onga. Sarap patayin eh. HAHAHA. XD",0,0,0,0,1,0
172,"Kanina may customer kami na mga chingchong mga bobo di man lang mag aral ng basic english balakayojan biglang layo ako sa kanila eh mamaya may coronavirus pa, uzto ko na mamatay pero di sa ganong paraan hahahahhahaha",0,0,0,1,0,0
173,"baka may lumabas na bobo jan na kesyo pinag tatanggol ko yung isa ah? bobo talaga pag ganyan, ang gusto ko lang POM para sakin para samin, walang iba. putangina nyo mga bata.",1,0,0,0,0,0
